"Source: EMFAC2021 (v1.0.1) Emissions Inventory"
"Region Type: Air District"
"Region: Bay Area AQMD"
"Calendar Year: 2013, 2014, 2015, 2016, 2017, 2018, 2019"
"Season: Summer"
"Vehicle Classification: EMFAC202x Categories"
"Units:  miles/year for CVMT and EVMT, trips/year for Trips, kWh/year for Energy Consumption, tons/year for Emissions, 1000 gallons/year for Fuel Consumption"

Region,"Calendar Year","Vehicle Category","Model Year",Speed,Fuel,Population,"Total VMT",CVMT,EVMT,Trips,"Energy Consumption",NOx_RUNEX,NOx_IDLEX,NOx_STREX,NOx_TOTEX,PM2.5_RUNEX,PM2.5_IDLEX,PM2.5_STREX,PM2.5_TOTEX,PM2.5_PMTW,PM2.5_PMBW,PM2.5_TOTAL,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_TOTEX,PM10_PMTW,PM10_PMBW,PM10_TOTAL,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CO2_TOTEX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,CH4_TOTEX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,N2O_TOTEX,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_TOTEX,ROG_DIURN,ROG_HOTSOAK,ROG_RUNLOSS,ROG_TOTAL,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_TOTEX,TOG_DIURN,TOG_HOTSOAK,TOG_RUNLOSS,TOG_TOTAL,CO_RUNEX,CO_IDLEX,CO_STREX,CO_TOTEX,SOx_RUNEX,SOx_IDLEX,SOx_STREX,SOx_TOTEX,NH3_RUNEX,"Fuel Consumption"
"Bay Area AQMD",2013,LDA,Aggregate,Aggregate,Gasoline,2373048.7733281264,26973124345.692154,26973124345.692154,0,3814761676.7626934,0,5227.303606161707,0,2050.4745796384846,7277.778185800191,53.96498030849244,0,13.953896792537613,67.91887710103006,59.465560114452956,77.89286321185551,205.27730042733853,58.571096956485725,0,15.103311777299009,73.67440873378473,237.86224045781182,222.55103774815893,534.0876869397555,10461718.052931445,0,366335.2043464486,10828053.257277893,349.87314850655923,0,559.3614504051445,909.2345989117038,382.0721562896553,0,183.12321265949384,565.1953689491492,1693.9215162418707,0,3049.38360261477,4743.305118856641,3030.2987155550327,887.713474627573,2030.3384991028256,10691.655808142072,2370.9463736262087,0,3337.305718799483,5708.252092425691,3030.2987155550327,887.7134746272088,2030.3384991019916,11656.602781709926,83224.94868982867,0,26503.809716155058,109728.75840598372,103.77833575628628,0,3.6339784386906406,107.41231419497693,919.1969072524423,1145708.4372443424
"Bay Area AQMD",2013,LDA,Aggregate,Aggregate,Diesel,19083.6767035872,215843783.89963183,215843783.89963183,0,30100138.373022005,0,108.1755328043948,0,0,108.1755328043948,8.200967091415519,0,0,8.200967091415519,0.47585408877056684,0.6159308883559325,9.292752068542018,8.571778432036819,0,0,8.571778432036819,1.9034163550822674,1.7598025381598053,12.234997325278892,61444.28221125425,0,0,61444.28221125425,0.5854667333216866,0,0,0.5854667333216866,9.644948321856962,0,0,9.644948321856962,12.604754067279794,0,0,12.604754067279794,0,0,0,12.604754067279794,14.349674484608162,0,0,14.349674484608162,0,0,0,14.349674484608162,110.70896902018816,0,0,110.70896902018816,0.5800733145554832,0,0,0.5800733145554832,0.7375736262050835,5468.595277102378
"Bay Area AQMD",2013,LDA,Aggregate,Aggregate,Electricity,9892.007727183827,109078194.63190891,0,109078194.63190891,17478116.691621095,42113185.841240436,0,0,0,0,0,0,0,0,0.24047625543592974,0.18329836682544076,0.4237746222613705,0,0,0,0,0.961905021743719,0.5237096195012598,1.4856146412449789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bay Area AQMD",2013,LDT1,Aggregate,Aggregate,Gasoline,242326.59073829552,2421391617.577026,2421391617.577026,0,372029037.2905858,0,1042.5830345404772,0,278.9157886159046,1321.4988231563818,10.355326451515577,0,2.42104212260999,12.776368574125566,5.338254736465314,8.60312202458758,26.71774533517846,11.207673831185197,0,2.616715382111571,13.824389213296769,21.353018945861255,24.580348641678814,59.75775680083683,1091789.7993303428,0,43992.22871682692,1135782.0280471698,67.65781746498406,0,74.54836979729163,142.2061872622757,63.222392822672525,0,20.714351434542518,83.93674425721504,369.95572653962137,0,431.6172923470494,801.5730188866708,561.1039714140612,160.6720718383516,400.3170244606302,1923.666086599714,494.26466009226823,0,472.25662764455257,966.5212877368208,561.1039714140612,160.67207183828558,400.3170244604659,2088.6143554496334,14336.824509208831,0,4121.859487406334,18458.683996615164,10.83035575963015,0,0.4363948884249408,11.26675064805509,102.91431813627683,120176.27005385328
"Bay Area AQMD",2013,LDT1,Aggregate,Aggregate,Diesel,451.0668979910816,2850777.4181977566,2850777.4181977566,0,575334.7378714693,0,4.622391199362725,0,0,4.622391199362725,0.5751400313773746,0,0,0.5751400313773746,0.006284888386014424,0.011270188337492226,0.5926951081008812,0.6011453114501691,0,0,0.6011453114501691,0.025139553544057697,0.032200538107120646,0.6584854031013475,1424.1547291273087,0,0,1424.1547291273087,0.03568508643303974,0,0,0.03568508643303974,0.223550479726252,0,0,0.223550479726252,0.7682789008456672,0,0,0.7682789008456672,0,0,0,0.7682789008456672,0.8746344499609136,0,0,0.8746344499609136,0,0,0,0.8746344499609136,4.758812512522834,0,0,4.758812512522834,0.013444931317196377,0,0,0.013444931317196377,0.009741574206378029,126.7510262190375
"Bay Area AQMD",2013,LDT1,Aggregate,Aggregate,Electricity,470.8122025944277,4767261.341224383,0,4767261.341224383,805190.7735529008,1840556.341203079,0,0,0,0,0,0,0,0,0.010510012197128393,0.008034316530903666,0.018544328728032057,0,0,0,0,0.04204004878851357,0.022955190088296187,0.06499523887680976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bay Area AQMD",2014,LDA,Aggregate,Aggregate,Gasoline,2393860.332596412,27576626173.26539,27576626173.26539,0,3852595348.436176,0,4599.482306115879,0,1916.8903657530193,6516.372671868898,49.549684670727075,0,12.627255964988864,62.17694063571594,60.79605389584794,79.54358303302008,202.51657756458394,53.802002555109574,0,13.67972364904147,67.48172620415104,243.18421558339176,227.26738009434294,537.9333218818857,10508774.333454909,0,359375.13626075326,10868149.469715662,306.96562015631645,0,521.0512872813163,828.0169074376327,344.93059856700177,0,177.45698470760206,522.3875832746038,1458.5479179850536,0,2799.7120594452613,4258.259977430314,2863.542759038715,808.5186387133277,1851.6966461430172,9782.018021325375,2055.43782710862,0,3064.3196186767846,5119.757445785404,2863.542759038715,808.5186387129949,1851.696646142253,10643.515489679367,75355.37703494742,0,24257.962341336,99613.33937628342,104.52615136955158,0,3.574546250523101,108.10069762007468,887.6101883743423,1153051.046926524
"Bay Area AQMD",2014,LDA,Aggregate,Aggregate,Diesel,21567.507275215496,258998506.53430814,258998506.53430814,0,34609402.01162898,0,96.9281326118942,0,0,96.9281326118942,7.329374298226331,0,0,7.329374298226331,0.5709939665305839,0.7363124141731977,8.636680678930112,7.660776080375366,0,0,7.660776080375366,2.2839758661223355,2.1037497547805653,12.048501701278267,71764.83014107759,0,0,71764.83014107759,0.53698380762322,0,0,0.53698380762322,11.267165283720532,0,0,11.267165283720532,11.560945221943424,0,0,11.560945221943424,0,0,0,11.560945221943424,13.161367511319918,0,0,13.161367511319918,0,0,0,13.161367511319918,107.74986161314423,0,0,107.74986161314423,0.677637836271361,0,0,0.677637836271361,0.8850403944689949,6388.3770861950115
"Bay Area AQMD",2014,LDA,Aggregate,Aggregate,Electricity,17280.201670491748,196070209.94613713,0,196070209.94613713,30737265.002255484,75699283.59427783,0,0,0,0,0,0,0,0,0.4322608203178921,0.3293326978682486,0.7615935181861406,0,0,0,0,1.7290432812715684,0.9409505653378534,2.6699938466094215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bay Area AQMD",2014,LDT1,Aggregate,Aggregate,Gasoline,238855.22278979552,2435308558.465219,2435308558.465219,0,368268679.36317074,0,897.8227711486786,0,257.1381133129045,1154.9608844615832,8.906844681984547,0,2.053945438955372,10.960790120939919,5.368936339174351,8.615320200981424,24.945046661095695,9.657310344559152,0,2.2249191081554622,11.882229452714615,21.475745356697406,24.615200574232652,57.97317538364467,1078629.9325253488,0,42034.34167024377,1120664.2741955926,56.02600149539375,0,68.50508577391987,124.53108726931362,56.10843163400911,0,19.764544547736854,75.87297618174597,289.41374162527666,0,390.35880540965655,679.7725470349333,519.2952974202285,138.82544000746296,362.92201756200006,1700.8153020246248,397.7327213047426,0,427.2265171197993,824.9592384245419,519.2952974202285,138.825440007406,362.92201756185057,1846.0019934140273,12430.814038240189,0,3699.6793606848382,16130.493398925028,10.728657027104257,0,0.4180970892253286,11.146754116329586,98.31866201893777,118896.33264752917
